Afghanistan,602.0,185.7,35.7,27.9,19.1,41.1,114.1,2.4,43.5,3.5
Albania,62.6,23.2,3.8,5.8,2.9,3.6,9.7,0.4,3.9,0.3
Algeria,864.6,302.6,54.4,62.0,14.9,79.1,153.2,6.1,51.7,3.2
Angola,465.0,162.2,24.1,26.1,40.3,30.2,62.3,3.4,34.5,2.3
Antigua and Barbuda,2.5,0.8,0.1,0.2,0.4,0.1,0.5,0.0,0.1,0.0
Argentina,1091.6,340.4,63.4,85.9,87.4,84.8,236.0,11.5,60.1,4.3
Armenia,66.0,25.0,4.0,5.9,4.6,3.8,9.2,0.3,3.9,0.2
Australia,802.5,235.2,44.5,65.6,47.7,152.8,142.6,10.8,34.3,3.3
Austria,229.9,71.5,14.4,16.8,26.3,24.9,36.9,5.4,10.5,0.7
Azerbaijan,217.5,75.7,12.9,18.9,20.3,16.5,29.1,1.6,13.4,0.7
Bahamas,10.3,3.4,0.6,0.7,1.2,0.6,2.1,0.1,0.5,0.1
Bahrain,34.6,11.4,2.1,2.7,1.1,4.0,5.2,0.4,2.0,0.1
Bangladesh,3252.0,1126.8,190.7,247.9,129.8,191.0,636.4,16.8,226.0,9.0
Barbados,7.0,2.6,0.4,0.6,0.6,0.2,1.5,0.1,0.4,0.0
Belarus,357.1,88.1,12.6,20.2,75.0,94.0,26.4,1.5,12.3,0.5
Belgium,274.2,85.4,18.2,21.5,27.7,26.1,45.4,5.2,13.8,0.9
Belize,8.4,2.7,0.5,0.5,0.9,0.4,1.8,0.1,0.5,0.1
Benin,209.5,74.8,11.5,12.4,13.4,18.4,27.0,1.0,15.2,1.0
Bhutan,16.8,5.4,1.0,1.3,0.9,1.7,2.5,0.1,1.1,0.0
Bolivia (Plurinational State of),263.1,82.1,14.7,14.7,28.5,21.9,52.4,2.2,14.5,1.1
Bosnia and Herzegovina,92.9,32.5,5.1,8.6,12.0,5.1,12.8,0.5,5.0,0.3
Botswana,50.1,18.2,2.7,3.5,4.3,3.8,6.3,0.6,3.1,0.2
Brazil,6311.6,2130.0,321.8,381.7,543.2,277.5,1718.8,53.0,289.8,15.7
Brunei Darussalam,8.3,2.7,0.6,1.1,0.2,0.4,1.3,0.4,0.6,0.0
Bulgaria,166.2,62.7,8.6,16.2,11.9,10.3,25.2,1.0,9.4,0.5
Burkina Faso,334.3,116.8,18.4,18.6,24.3,25.9,44.0,1.5,25.1,1.7
Burundi,210.9,83.6,11.5,11.2,18.4,4.0,30.2,0.7,15.5,1.0
Cambodia,300.3,86.3,19.1,28.8,30.6,15.5,44.6,1.7,20.9,1.1
Cameroon,484.6,161.2,24.6,26.0,36.0,67.6,57.6,2.6,32.5,2.2
Canada,980.5,261.3,58.8,83.9,80.3,183.9,151.9,14.7,48.7,3.1
Cape Verde,11.1,4.4,0.7,0.8,0.5,0.8,1.4,0.1,0.7,0.0
Central African Republic,96.3,36.3,5.3,5.2,8.5,4.6,13.2,0.3,6.7,0.4
Chad,261.8,86.6,13.5,13.6,20.7,27.5,33.1,1.3,19.3,1.3
Chile,477.5,149.5,27.9,40.6,51.9,26.8,102.1,4.5,24.9,1.7
China,30649.8,8981.4,1410.9,4859.1,2154.9,3135.9,3804.6,216.8,1865.7,164.0
Colombia,1154.7,388.7,82.3,84.4,66.4,64.3,250.1,9.5,62.9,4.1
Comoros,15.1,6.3,0.9,1.0,0.9,0.3,2.2,0.1,1.1,0.1
Congo,87.1,32.7,4.7,5.4,5.4,5.1,11.9,0.6,6.4,0.4
Costa Rica,112.6,38.4,7.9,8.9,9.8,6.5,19.7,0.8,6.3,0.4
Côte d'Ivoire,473.3,152.3,23.5,25.4,42.4,65.5,55.5,2.5,31.6,2.1
Croatia,108.7,35.9,5.4,11.5,13.0,10.1,14.2,0.9,5.5,0.3
Cuba,305.8,107.0,17.3,24.9,38.5,9.5,62.0,1.9,14.8,1.3
Cyprus,21.6,7.4,1.6,1.7,1.1,1.8,3.9,0.4,1.1,0.1
Czech Republic,259.4,92.4,14.1,23.2,23.8,22.4,35.7,2.2,14.0,0.8
Democratic People's Republic of Korea,519.9,140.7,25.7,67.0,35.0,64.8,82.3,2.2,32.6,3.2
Democratic Republic of the Congo,1360.8,519.5,75.5,74.2,81.7,58.2,194.1,4.0,105.6,7.1
Denmark,165.4,45.9,8.5,12.8,29.8,20.5,24.1,2.5,6.6,0.5
Djibouti,19.1,8.1,1.1,1.3,1.4,0.5,2.7,0.1,1.2,0.1
Dominican Republic,243.5,83.7,14.9,17.3,20.0,10.1,52.9,1.9,14.1,1.7
Ecuador,394.7,130.5,23.1,25.4,35.9,24.2,81.5,4.1,21.7,1.6
Egypt,1988.8,522.2,118.0,126.6,27.0,317.0,331.3,13.4,119.1,8.0
El Salvador,177.9,44.8,9.3,9.1,56.9,5.5,24.7,1.0,7.8,0.5
Equatorial Guinea,18.1,6.3,0.9,1.2,1.7,1.5,2.2,0.2,1.2,0.1
Eritrea,97.8,40.4,5.6,5.7,6.3,1.8,14.5,0.4,7.3,0.5
Estonia,52.0,13.2,1.8,2.8,13.2,11.4,3.7,0.2,1.7,0.1
Ethiopia,1983.1,837.7,106.6,106.9,132.1,55.8,292.7,7.8,139.4,9.3
Fiji,15.7,5.0,1.0,1.7,0.5,0.8,2.7,0.1,1.2,0.1
Finland,170.7,51.2,8.5,11.0,35.3,26.1,15.5,2.1,6.6,0.5
France,1708.5,508.6,102.5,123.7,214.2,137.2,347.5,27.3,75.9,5.3
Gabon,34.9,13.2,1.9,2.4,2.4,2.1,4.6,0.4,2.4,0.2
Gambia,37.2,13.8,2.0,2.1,2.0,3.4,4.8,0.2,2.8,0.2
Georgia,87.9,33.0,5.2,8.3,5.7,6.1,12.2,0.4,5.3,0.2
Germany,2265.3,694.4,119.8,154.5,328.3,171.5,420.3,56.7,100.8,5.6
Ghana,555.5,199.2,30.5,35.4,34.8,56.5,69.2,3.3,38.1,2.4
Greece,273.7,104.4,17.9,20.9,10.4,28.5,45.9,3.3,13.2,0.8
Grenada,2.7,0.9,0.2,0.2,0.3,0.2,0.5,0.0,0.1,0.0
Guatemala,401.0,102.9,22.8,20.2,88.0,31.4,60.5,3.3,21.3,1.6
Guinea,238.6,85.5,13.1,13.9,15.1,20.9,30.9,0.9,17.4,1.1
Guinea-Bissau,35.3,12.9,2.0,2.1,2.3,2.8,4.6,0.1,2.5,0.2
Guyana,19.2,6.0,1.0,1.1,2.4,1.3,3.9,0.2,1.0,0.1
Haiti,249.6,78.4,14.4,13.2,37.6,9.7,51.9,0.9,14.3,1.7
Honduras,169.9,55.2,12.2,11.0,13.8,8.8,31.3,1.1,10.8,0.8
Hungary,247.3,86.2,13.3,23.5,29.6,14.4,34.5,2.3,13.2,0.7
Iceland,7.6,2.1,0.5,0.6,0.5,1.2,1.4,0.1,0.4,0.0
India,27970.0,10050.4,1505.4,2186.8,1670.5,2058.6,3519.5,196.5,1919.0,76.5
Indonesia,4825.1,1547.9,323.3,575.1,189.2,194.8,752.9,42.4,347.4,16.8
Iran (Islamic Republic of),2116.2,657.5,118.3,140.1,30.1,423.7,322.1,16.0,102.9,11.8
Iraq,773.2,228.4,39.5,40.8,14.0,109.4,140.7,5.5,47.6,3.1
Ireland,130.0,37.0,7.3,8.8,8.7,20.8,25.9,3.6,6.0,0.4
Israel,154.1,60.2,11.2,13.8,5.4,9.2,19.2,2.4,10.2,0.8
Italy,1423.7,521.5,90.8,102.7,47.8,113.7,273.3,31.7,75.5,4.8
Jamaica,66.7,24.0,4.2,4.9,4.1,2.7,14.6,0.6,3.8,0.4
Japan,2442.3,850.4,159.0,373.9,68.3,110.7,340.0,55.6,169.2,7.2
Jordan,160.9,52.0,9.7,10.2,2.6,17.7,28.5,1.4,10.1,0.8
Kazakhstan,430.6,128.3,21.5,37.8,53.9,60.8,50.6,3.3,23.6,1.3
Kenya,879.3,360.8,49.6,53.5,54.0,13.9,127.5,4.0,66.6,4.3
Kiribati,1.9,0.6,0.1,0.2,0.1,0.2,0.3,0.0,0.1,0.0
Kuwait,95.5,33.4,6.2,8.1,1.4,9.3,15.4,1.4,5.5,0.3
Kyrgyzstan,142.8,40.7,7.1,9.5,23.8,18.4,16.6,0.5,8.2,0.5
