Afghanistan,AFG,334.9,104.1,19.6,15,11.6,17.9,64,1,25.7,2
Albania,ALB,61.7,21.7,3.7,5.5,2.9,3.4,9.8,0.4,4.4,0.3
Algeria,DZA,651,217.5,40.9,39.5,10.3,49.2,122,4.8,42.2,3.4
Angola,AGO,271.6,98.1,14.3,14.9,23.7,12.8,37.1,1.5,20.6,1.4
Antigua and Barbuda,ATG,2.1,0.6,0.1,0.1,0.4,0.1,0.4,0,0.1,0
Argentina,ARG,926.4,283.2,52.7,68.2,97.4,59.1,198.5,8.7,51.6,4
Armenia,ARM,63.3,23.5,3.8,5.2,4.2,2.7,9.4,0.2,4.2,0.3
Australia,AUS,631.8,179.3,34.6,51.7,40.2,127.5,111.9,7.6,27.1,2.7
Austria,AUT,210.8,65.3,13.4,15,25.3,21,34.3,4.6,9.9,0.7
Azerbaijan,AZE,163.7,56.7,9.9,12.9,12.2,9.7,24,0.8,11.4,0.7
Bahamas,BHS,7.4,2.4,0.4,0.5,0.9,0.4,1.5,0.1,0.4,0
Bahrain,BHR,15.3,4.9,0.9,1.1,0.6,1.4,2.5,0.2,0.9,0.1
Bangladesh,BGD,2388.7,826,140.7,166.5,91.9,81,488.4,11.5,185,8.1
Barbados,BRB,6.6,2.4,0.4,0.5,0.5,0.2,1.4,0.1,0.4,0
Belarus,BLR,348.1,87.6,12.8,18.7,83.3,73.2,27.9,1.2,13.3,0.6
Belgium,BEL,251.1,79.1,16.7,19.4,26.9,21.9,41.8,4.3,12.6,0.9
Belize,BLZ,5.2,1.6,0.3,0.3,0.6,0.2,1.1,0,0.3,0
Benin,BEN,127.2,46,6.9,7.2,8.8,9.4,16.5,0.5,9.5,0.6
Bhutan,BTN,10.7,3.3,0.6,0.7,0.5,1.1,1.7,0.1,0.8,0
Bolivia,BOL,201.2,59.3,10.6,9.9,30.6,13.6,38.5,1.7,11.3,0.9
Bosnia and Herz.,BIH,91.6,30.6,5,7.7,16,2.5,12.7,0.4,5.2,0.3
Botswana,BWA,36.7,12.7,1.9,2.2,3.1,3.1,4.7,0.4,2.4,0.2
Brazil,BRA,5067.3,1747.3,260.3,273.3,488.5,192.4,1294.1,44.6,249,15.5
Brunei Darussalam,BRN,6.3,2,0.4,0.7,0.1,0.3,1,0.3,0.5,0
Bulgaria,BGR,182.7,67.6,9.6,17.1,16.4,7.3,28.3,0.9,10.6,0.6
Burkina Faso,BFA,208.5,73.6,11.3,11,17,14,27.5,0.8,15.8,1.1
Burundi,BDI,123.1,48,6.2,5.9,11.1,1.8,17.9,0.4,9.3,0.6
