Afghanistan,423.5,130.9,25,19,14.9,24.8,80.4,1.3,32.1,2.5
Albania,63.9,22.6,3.8,5.8,3,3.7,10,0.4,4.3,0.3
Algeria,732.1,249.8,46.7,47.1,11.9,61.1,134.2,5.4,44.9,3.3
Angola,325.1,115.9,17,17.8,28.7,17.6,44,1.9,24.5,1.6
Antigua and Barbuda,2.2,0.7,0.1,0.1,0.4,0.1,0.4,0,0.1,0
Argentina,971.2,301.3,56.5,73.1,89.6,64.6,211.1,9.1,54.4,4.1
Armenia,63.6,23.8,3.9,5.2,4.2,3,9.2,0.3,4.1,0.2
Australia,663.4,199.4,36.8,55.8,40.7,118.4,118.5,8.5,28.8,2.8
Austria,221.1,67.5,13.8,15.6,26.7,24.3,35.4,5.1,10.1,0.7
Azerbaijan,184.1,63.3,11,14.5,15.9,12.1,26.1,1,12.1,0.8
Bahamas,8.5,2.8,0.5,0.6,1,0.4,1.7,0.1,0.4,0.1
Bahrain,20.8,6.7,1.3,1.6,0.8,2.2,3.2,0.3,1.3,0.1
Bangladesh,2690.4,929.4,159.2,192.7,104.5,114,543.5,13.1,201.3,8.6
Barbados,6.8,2.5,0.4,0.5,0.6,0.2,1.5,0.1,0.4,0
Belarus,361.2,87.1,12.7,18.9,89,83.6,27.2,1.3,12.7,0.6
Belgium,256.4,80.3,17,19.7,27.9,22.5,42.7,4.6,12.9,0.9
Belize,6.1,2,0.4,0.4,0.6,0.3,1.3,0,0.4,0.1
Benin,152.6,54.7,8.3,8.8,10.3,12.4,19.7,0.7,11.2,0.7
Bhutan,13.2,4.1,0.7,0.9,0.7,1.3,2,0.1,0.9,0
Bolivia,219.5,66.5,11.9,11.3,29,16.5,42.9,1.7,12.4,1
Bosnia and Herzegovina,93.7,31.9,5.1,8.2,14,3.6,13,0.4,5.2,0.3
Botswana,40.2,14.2,2.2,2.5,3.5,3.2,5.1,0.4,2.6,0.2
Brazil,5553,1945,284.4,307.2,530.5,217.4,1410.3,46.4,265.4,15.8
Brunei Darussalam,7,2.2,0.5,0.8,0.2,0.3,1.1,0.3,0.5,0
Bulgaria,175.7,65.8,9.4,16.5,14.1,8.6,27.2,0.9,10.1,0.6
Burkina Faso,242.8,85.3,13.2,13,18.6,17.8,31.9,1,18.4,1.2
Burundi,149.3,59.1,7.9,7.3,13.2,2.4,21.6,0.5,11,0.7
Cambodia,243,68,15.1,20.7,24.3,10.1,37.6,1.2,18,1.1
Cameroon,362.5,122.3,18.2,18.9,29,44.5,43.6,1.9,25,1.7
Canada,856.5,228.3,52.4,74.3,77,150.7,131.5,12.6,43.9,3
Central African Republic,76.7,28.9,4.1,4.1,6.8,3.1,10.6,0.3,5.5,0.4
Chad,180.5,61.4,9.4,9.3,14.9,15.6,23.1,0.7,13.7,0.9
Chile,426.1,129.2,24.6,34,48.6,24.8,93,3.8,22.6,1.7
China,27607.9,7873.4,1328.3,4289,1968.1,2330.3,3609.9,189.4,1814.1,192.1
Colombia,993.6,337.3,71.8,68.2,51.8,41.4,224.6,7.5,57,4.1
Comoros,11.6,4.8,0.7,0.7,0.7,0.3,1.7,0.1,0.9,0.1
Congo,67.8,25.1,3.6,4,4.9,4.5,9.1,0.4,4.8,0.3
Costa Rica,94.6,32.2,6.7,7.3,7.8,4.3,16.9,0.7,5.6,0.4
C�te d'Ivoire,363.1,119.2,18.2,19.9,34.9,41.9,43.1,1.9,25.1,1.6
Croatia,111.5,37,5.7,9.9,13.8,10.4,14.8,0.8,5.8,0.3
Cuba,295.5,102.9,17.4,24,35.3,8,61.1,1.8,14.9,1.5
Cyprus,17.3,5.9,1.2,1.3,0.9,1.3,3.2,0.3,0.9,0.1
Czech Rep.,254.5,88.8,14,22,25.6,21,35.1,2,13.7,0.9
Democratic People's Republic of Korea,492.8,125.8,23.9,64.8,36.4,65.2,76.8,2.4,31,3.3
Dem. Rep. Congo,972,374.4,53.5,52.3,60.7,36.4,138.4,2.6,75.9,5.1
Denmark,164.1,43.3,8,12.6,34.8,20.2,22.7,2.4,6.3,0.5
Djibouti,16,6.7,0.9,1,1.2,0.4,2.3,0.1,1.1,0.1
Dominican Republic,209.4,70.3,12.8,14,19.4,8.6,45.3,1.5,12.5,1.6
Ecuador,332.4,106.5,19.1,19.6,38.7,17.4,67.6,3.3,18.6,1.5
Egypt,1607.6,421.3,96.6,96.6,24,224.7,279.1,10.4,99,7.3
El Salvador,183,40.2,8.4,8,71.4,5.4,22.8,0.9,7.7,0.6
Equatorial Guinea,13.2,4.6,0.6,0.9,1.3,0.9,1.6,0.1,0.9,0.1
Eritrea,79.4,32.8,4.5,4.3,5.6,1.4,11.7,0.4,5.8,0.4
Estonia,52.8,13.3,1.7,2.6,18.6,6.7,3.8,0.2,1.7,0.1
Ethiopia,1432.3,603.1,75.3,73.2,101.5,32.6,211.4,4.5,105.7,7.1
Fiji,14.4,4.5,0.9,1.5,0.5,0.8,2.4,0.1,1.1,0.1
Finland,171.1,48.6,8.1,10,46.3,21.9,14.3,1.9,6.3,0.5
France,1662.5,482.3,98.1,113,245,116.3,345.8,26.7,70.4,5.2
Gabon,27,10.3,1.5,1.8,1.8,1.4,3.6,0.3,1.9,0.1
Gambia,27.2,10.1,1.5,1.5,1.6,2.5,3.4,0.1,2,0.1
Georgia,97.8,36.8,5.8,8.4,6.4,5.7,14.1,0.4,6,0.3
Germany,2319.2,672.8,121.2,149.1,384.8,178.5,437.2,56.7,100.8,6.2
Ghana,419.3,152.9,23.3,25.6,26,36.2,53.6,2.2,29.7,2
Greece,286.6,107.1,18.8,21,10.4,33.7,47.5,3.7,13.7,0.9
Grenada,2.5,0.8,0.1,0.2,0.3,0.1,0.5,0,0.1,0
Guatemala,343.6,77.9,17.2,14.7,96.3,31,46.5,2.5,17.1,1.4
Guinea,180.3,64.8,9.7,10.4,12.2,14.8,23.2,0.7,13.3,0.9
Guinea-Bissau,27.6,10,1.5,1.6,2,2,3.6,0.1,2,0.1
Guyana,17.2,5.3,0.9,1,2.2,1,3.6,0.2,1,0.1
Haiti,202.4,64.2,11.7,10.2,27.9,6.7,43.2,0.8,12.4,1.6
Honduras,133,42.3,9.3,7.9,10.7,6.4,24.8,0.8,9.1,0.7
Hungary,252,84.1,13.2,22.8,37.9,13.3,34.4,2.1,13.2,0.8
Iceland,6.8,1.9,0.4,0.5,0.5,0.9,1.3,0.1,0.4,0
India,23259,8308.2,1252,1735.2,1361.9,1632.3,2826.5,156.2,1671.6,70.6
Indonesia,4129.9,1306.1,282.8,466.6,154.4,155.6,655.3,33.9,307.9,16.2
Iran,1927,548.1,101.9,104.5,26,446.1,289.6,13.6,94.5,13.1
Iraq,562,167.4,29,28.4,10.4,73.3,104,3.6,35.4,2.4
Ireland,113.9,33.7,6.4,7.3,8.9,16,22.5,2.9,5.3,0.4
Israel,129.1,51.1,9.3,10.8,5.5,8.3,15,1.8,8.4,0.7
Italy,1341.5,484.6,87.7,93.8,37.8,123,252,33,71.3,4.8
Jamaica,59.3,21.3,3.7,4,3.3,2.1,13.4,0.5,3.6,0.5
Japan,2415.8,826.4,163.7,363,74.1,101.9,333.3,56.9,172.1,8.1
Jordan,109.6,35,6.7,6.5,1.8,11.4,19.6,0.9,7.2,0.6
Kazakhstan,388.2,115.5,19.5,28.1,61.5,45.2,46.7,2.4,21.1,1.3
Kenya,662.6,272,37.1,37.2,40.5,8.7,96.5,3,51,3.4
Kiribati,1.6,0.5,0.1,0.1,0.1,0.1,0.3,0,0.1,0
Kuwait,52.9,18.2,3.5,4.2,0.7,4.8,8.6,0.7,3.3,0.2
Kyrgyzstan,137.7,35.4,6.2,9.1,28.8,18.7,15,0.5,7.2,0.5
Lao PDR,104.1,27.8,6.2,8.5,12.1,5,15.6,0.6,7.8,0.5
Latvia,71.8,17.4,3,4.7,21.3,8.9,6.5,0.3,3,0.1
Lebanon,88.8,29.3,5.7,5.9,1.4,7.4,18.3,0.7,5.2,0.4
Lesotho,40.2,15.6,2,2.1,2.8,2.8,5.2,0.2,2.7,0.2
Liberia,57.4,19.5,3.3,3.4,3.7,4.7,7.8,0.2,4.5,0.3
Libya,129.2,43.5,8.3,8.7,2.8,11.6,22.9,1.3,7.9,0.6
Lithuania,115.3,30.4,4.4,6.8,33.2,15.8,9.5,0.5,4.5,0.2
Luxembourg,12.8,3.7,0.7,0.9,1.6,1.9,1.9,0.2,0.6,0
Madagascar,328.9,138.8,18.4,19.5,16.8,5.3,49.2,1.4,25.1,1.7
Malawi,221.4,91,12.3,11.2,12.6,3.2,33.7,0.8,17.5,1.2
Malaysia,543.6,150.4,32.6,56.2,28.9,37.4,110.7,6,35.1,1.9
Maldives,6.6,1.7,0.4,0.6,0.9,0.7,0.9,0.1,0.4,0
Mali,224.9,81.9,12.5,12.6,13.2,14.8,30.1,0.9,17.6,1.2
Malta,9.5,3.2,0.7,0.7,0.4,1,1.7,0.2,0.5,0
Mauritania,59,22.1,3.4,3.7,2.6,4.8,7.7,0.3,4.4,0.3
Mauritius,26.2,7.9,1.6,3,3,1.1,3.7,0.2,1.6,0.1
Mexico,2236.7,683.9,156.1,167.5,261.7,137.1,315.1,28.1,153,9.1
Micronesia (Federated States of),1.8,0.5,0.1,0.2,0.1,0.1,0.3,0,0.1,0
Mongolia,61,17.5,3.2,4.1,12.2,4.1,7.6,0.3,3.6,0.2
Montenegro,14.5,4.9,0.8,1.2,1,1.7,2,0.1,0.8,0.1
Morocco,760.8,225.3,40.6,44.1,24.2,147.3,120.4,4.1,39.8,2.8
Mozambique,379.2,156.5,20.6,20.3,25.5,7.2,56.2,1.2,28.4,1.9
Myanmar,977.1,283.6,60.9,92.3,108,50.3,143.4,4.8,66.6,3.5
Namibia,41.4,14.8,2.2,2.5,3.2,3.1,5.5,0.3,2.8,0.2
Nepal,424.1,119.3,25.9,32,20.6,27.3,76.6,2.1,35.3,1.5
Netherlands,391.4,121.1,25.2,34.6,23.2,25.1,93.9,7.6,20.3,1.3
New Zealand,118.1,34.6,8,10.5,6.9,11.6,27.2,1.5,5.8,0.6
Nicaragua,127.1,34.9,7.8,6.9,26.9,5.8,20.3,0.6,7.1,0.6
